poi_id,weight,infra_distance,observed_distance,trip_mode,tracker_id,journey_distance
129,0.00769230769230769231,950,950,BIKE,20287520,48850
230,0.00348432055749128920,27620,27600,TRAIN,20275438,31000
81,0.00333333333333333333,5330,5300,BIKE,20027323,35130
208,0.00398406374501992032,3960,4000,BIKE,20273599,76700
178,0.00325732899022801303,1110,1100,FOOT,10040219,212060
81,0.00287356321839080460,1040,1000,FOOT,20049454,30980
163,0.00289017341040462428,1730,1700,FOOT,20002235,33400
152,0.00961538461538461538,3580,3600,TRAM,10009457,41430
22,0.00274725274725274725,1300,1300,CAR,10079399,84210
230,0.00283286118980169972,104820,104800,TRAIN,10019527,400000
187,0.00400000000000000000,1960,2000,FOOT,20088242,20550
163,0.00280112044817927171,830,830,TRAM,20016886,27080
178,0.00343642611683848797,370,370,FOOT,10078538,34220
178,0.00502512562814070352,920,920,FOOT,20089898,71380
230,0.00352112676056338028,1600,1600,FOOT,20235122,30100
152,0.00313479623824451411,2450,2400,TRAM,20268808,52200
230,0.00763358778625954198,3860,3900,BIKE,20293052,111700
184,0.00448430493273542601,1250,1200,BIKE,20224345,27100
184,0.00448430493273542601,440,440,FOOT,20224345,30440
184,0.00448430493273542601,440,440,FOOT,20224345,30440
184,0.00448430493273542601,1490,1500,BIKE,20224345,26500
230,0.00294117647058823529,2280,2300,BIKE,20282412,297700
133,0.00315457413249211356,3240,3200,FOOT,10039351,55610
178,0.00274725274725274725,3330,3300,FOOT,20181167,47030
129,0.00520833333333333333,830,830,FOOT,10065817,20830
41,0.00276243093922651934,2060,2100,TRAM,20055398,39320
81,0.00303030303030303030,740,740,FOOT,10076197,42040
265,0.00487804878048780488,1380,1400,FOOT,10014498,21900
230,0.00283286118980169972,350,350,FOOT,20203521,18050
230,0.02439024390243902439,27530,27500,TRAIN,20023454,206270
230,0.00689655172413793103,1210,1200,FOOT,20064106,194900
246,0.01020408163265306122,870,870,BIKE,10062008,112670
129,0.01020408163265306122,870,870,BIKE,10062008,112670
230,0.00314465408805031447,1170,1200,FOOT,20223679,34100
184,0.00448430493273542601,1470,1500,BIKE,20224345,25400
230,0.00310559006211180124,8670,8700,CAR,10000087,203000
163,0.00354609929078014184,2760,2800,BIKE,20273684,161880
129,0.00389105058365758755,2100,2100,FOOT,20021909,48220
31,0.00384615384615384615,12950,13000,BUS,10017422,96770
253,0.00313479623824451411,3030,3000,FOOT,20268808,43460
178,0.00346020761245674740,840,840,FOOT,20128175,51940
133,0.00323624595469255663,1290,1300,BIKE,20263457,93510
163,0.00781250000000000000,770,770,FOOT,20089982,140390
230,0.00709219858156028369,5610,5600,TRAIN,20201852,7640
78,0.00324675324675324675,1100,1100,FOOT,20032244,111410
113,0.00403225806451612903,7360,7400,CAR,20157710,75000
253,0.00313479623824451411,4220,4200,METRO,20268808,43130
259,0.01250000000000000000,1260,1300,FOOT,20208664,60570
141,0.00363636363636363636,590,590,FOOT,10034810,30790
187,0.00297619047619047619,1530,1500,FOOT,10026054,10800
41,0.02222222222222222222,2360,2400,TRAM,20266049,44220
163,0.02222222222222222222,2360,2400,TRAM,20266049,44220
81,0.00303030303030303030,740,740,FOOT,10076197,44780
230,0.01162790697674418605,270,270,FOOT,10049709,252980
184,0.00448430493273542601,1280,1300,BIKE,20224345,27520
178,0.00320512820512820513,580,580,FOOT,10003973,61940
163,0.00303951367781155015,3570,3600,BIKE,20097541,26350
178,0.02222222222222222222,390,390,FOOT,20266049,82080
152,0.00384615384615384615,3160,3200,TRAM,10017422,84190
230,0.01000000000000000000,27630,27600,TRAIN,10035299,31900
230,0.00540540540540540541,28930,28900,TRAIN,20292341,32190
230,0.00348432055749128920,1330,1300,FOOT,20275438,30900
2,0.01234567901234567901,1530,1500,FOOT,10040433,65100
129,0.00476190476190476190,820,820,FOOT,20282025,31420
163,0.00299401197604790419,3240,3200,BIKE,10037960,29300
129,0.00378787878787878788,870,870,FOOT,20273694,20490
263,0.00300300300300300300,4690,4700,BIKE,20043089,71200
178,0.00343642611683848797,270,270,FOOT,10078538,36190
110,0.00546448087431693989,730,730,FOOT,20239304,182550
41,0.00476190476190476190,380,380,FOOT,20282025,32830
178,0.00343642611683848797,950,950,FOOT,10078538,34560
141,0.00381679389312977099,310,310,FOOT,20057080,108980
18,0.00632911392405063291,3280,3300,FOOT,20259676,143430
31,0.00384615384615384615,1140,1100,FOOT,10017422,117260
259,0.00308641975308641975,1310,1300,FOOT,20229020,155030
178,0.00280112044817927171,890,890,FOOT,20016886,24260
230,0.00348432055749128920,1160,1200,FOOT,20275438,31000
200,0.00350877192982456140,1590,1600,BIKE,20217950,26500
163,0.00389105058365758755,2320,2300,TRAM,20021909,36000
150,0.00406504065040650407,1540,1500,FOOT,20265344,68500
230,0.00290697674418604651,27610,27600,TRAIN,20043213,39100
230,0.00285714285714285714,770,770,FOOT,10001768,239630
234,0.00277008310249307479,1210,1200,FOOT,20206229,18200
184,0.00448430493273542601,5150,5200,CAR,20224345,30440
22,0.00321543408360128617,750,750,FOOT,20277778,13750
230,0.01020408163265306122,193120,193100,TRAIN,10085142,249400
230,0.00327868852459016393,27560,27600,TRAIN,10043227,29490
152,0.00628930817610062893,2110,2100,BIKE,20012559,169200
178,0.00319488817891373802,790,790,FOOT,20123586,30380
194,0.00398406374501992032,410,410,FOOT,10013858,57060
230,0.00348432055749128920,1290,1300,FOOT,20275438,31300
230,0.00383141762452107280,300,300,FOOT,20044179,25700
130,0.01234567901234567901,900,900,FOOT,10040433,65310
230,0.00510204081632653061,6760,6800,CAR,10033864,73000
129,0.00617283950617283951,1210,1200,FOOT,20054406,29600
100,0.00294985250737463127,1000,1000,FOOT,20224235,20860
18,0.00371747211895910781,2570,2600,FOOT,20286969,24810
81,0.01785714285714285714,880,880,BIKE,20241727,99180
143,0.00446428571428571429,4670,4700,CAR,20268901,43600
1,0.00296735905044510386,1730,1700,FOOT,20190111,30540
152,0.01851851851851851852,460,460,FOOT,20195606,172760
152,0.01851851851851851852,460,460,FOOT,20195606,172760
150,0.01041666666666666667,310,310,BIKE,20265485,47310
78,0.00454545454545454545,370,370,FOOT,10031687,64070
234,0.00277008310249307479,1100,1100,FOOT,20206229,18300
152,0.01162790697674418605,2150,2200,FOOT,20029555,64700
31,0.00293255131964809384,2030,2000,FOOT,20223597,93090
31,0.00293255131964809384,2030,2000,FOOT,20223597,93090
218,0.00427350427350427350,1250,1200,FOOT,20060526,34600
3,0.00869565217391304348,730,730,FOOT,10058306,41730
194,0.00296735905044510386,1980,2000,BIKE,20204853,101750
163,0.00520833333333333333,3260,3300,BIKE,10065817,23100
150,0.00311526479750778816,1570,1600,FOOT,10005989,82780
150,0.00311526479750778816,1570,1600,FOOT,10005989,82780
230,0.00277777777777777778,193370,193400,TRAIN,20197089,250800
230,0.00333333333333333333,260210,260200,TRAIN,20252257,261700
184,0.00381679389312977099,2800,2800,FOOT,20057080,116440
81,0.00319488817891373802,830,830,FOOT,10082314,15680
104,0.00294985250737463127,1650,1600,FOOT,20093998,107390
128,0.00294985250737463127,1650,1600,FOOT,20093998,107390
253,0.00313479623824451411,1640,1600,FOOT,20268808,42000
253,0.00313479623824451411,3030,3000,METRO,20268808,42000
178,0.00316455696202531646,1070,1100,BIKE,10073455,33600
150,0.00406504065040650407,900,900,FOOT,20265344,64300
150,0.00406504065040650407,900,900,FOOT,20265344,64300
230,0.00540540540540540541,990,990,FOOT,20292341,32190
41,0.00302114803625377644,3790,3800,UNKNOWN,10006377,73330
230,0.00309597523219814241,2030,2000,FOOT,20227502,112610
230,0.00348432055749128920,1270,1300,FOOT,20275438,31300
230,0.00769230769230769231,218080,218100,TRAIN,20031309,278390
230,0.00290697674418604651,27690,27700,TRAIN,20043213,39300
18,0.00364963503649635036,1890,1900,BIKE,20035953,45400
152,0.00961538461538461538,450,450,FOOT,10009457,41430
81,0.01785714285714285714,900,900,BIKE,20241727,31200
